Ticker,Last,Relative Strength Index (14),Exponential Moving Average (100),Exponential Moving Average (200),Exchange,Traded Volume
LOCBTC,0.00003953,54.62486816,0.00003326,0.00003637,HITBTC,5.7525441
LOCBTC,0.00003662,48.28658444,0.00003381,0.00003681,KUCOIN,5.7525441
LOKIBTC,0.00004313,42.42938331,0.00004458,0.00004188,KUCOIN,5.60066693
LOLBTC,4e-8,46.46130747,4e-8,7e-8,HUOBI,14.39123917
LOOBTC,0.00000241,58.77116771,0.0000022,0.00000232,BITFINEX,
LOOMBTC,0.00000288,62.50158765,0.00000222,0.00000238,BINANCE,747.9132249
LOOMBTC,0.00000279,62.35896477,0.0000022,0.00000238,HITBTC,747.9132249
LOOMBTC,0.00000288,62.594663,0.00000222,0.00000241,HUOBI,747.9132249
LOOMBTC,0.00000289,62.98749557,0.00000222,0.00000237,KUCOIN,747.9132249
LOOMBTC,0.00000288,63.52850524,0.00000222,0.00000236,POLONIEX,747.9132249
LOOMBTC,0.00000286,62.16954517,0.00000222,0.00000236,BITTREX,747.9132249
LOONBTC,0.0000419,71.73782818,,,BITTREX,
LPTBTC,0.00025889,50.40722837,0.00022774,0.0002362,POLONIEX,3.08748661
LRCBTC,0.00001655,65.47856819,,,POLONIEX,4373.2379658
LRCBTC,0.00001557,59.17540294,0.00001035,0.0000083,BINANCE,4373.2379658
LRCBTC,0.00001552,59.03419764,0.00001036,0.00000832,HITBTC,4373.2379658
LRCBTC,0.00001594,60.22842028,0.00001043,0.00000926,BITFINEX,4373.2379658
LRCBTC,0.00001562,58.96831405,0.00001038,0.00000834,BITTREX,4373.2379658
LSKBTC,0.0001602,64.67668444,0.00013217,0.0001334,HUOBI,1307.43450374
LSKBTC,0.00016081,67.54337626,0.00013147,0.00013242,KUCOIN,1307.43450374
LSKBTC,0.00016167,67.63428208,0.00013144,0.0001328,BITTREX,1307.43450374
LSKBTC,0.00016019,67.55112144,0.00013131,0.00013271,POLONIEX,1307.43450374
LSKBTC,0.0001602,67.59461124,0.00013156,0.00013295,BINANCE,1307.43450374
LSKBTC,0.00016055,67.18721759,0.00013148,0.00013283,HITBTC,1307.43450374
LTCBTC,0.00512465,52.65066175,0.00503177,0.00547087,BITSTAMP,211946.11153683
LTCBTC,0.005127,52.75272045,0.00503056,0.00546887,KUCOIN,211946.11153683
LTCBTC,0.005136,53.2240071,0.00503047,0.00546913,BITTREX,211946.11153683
LTCBTC,0.00512734,52.76486934,0.00503075,0.00546936,POLONIEX,211946.11153683
LTCBTC,0.005126,52.77423919,0.00502954,0.00546836,COINBASE,211946.11153683
LTCBTC,0.00513,53.09855866,0.00502953,0.00545549,GEMINI,211946.11153683
LTCBTC,0.00515024,53.58328435,0.00503118,0.00547029,THEROCKTRADING,235526.80661319
LTCBTC,0.005125,52.67675426,0.00503065,0.00546911,BINANCE,211946.11153683
LTCBTC,0.0051245,52.72602203,0.00503008,0.00546885,HITBTC,211946.11153683
LTCBTC,0.005126,52.99940785,0.00502778,0.00546422,HUOBI,211946.11153683
LTCBTC,0.0051317,52.9589905,0.00503145,0.00546947,BITFINEX,211946.11153683
LTOBTC,0.00000723,51.99403444,0.00000642,,BINANCE,293.13185219
LUCYBTC,0.00000336,30.06548604,,,BITTREX,44.58854706
LUNABTC,0.00004037,,,,BINANCE,1264.6124867
LUNABTC,0.00004068,51.97962022,0.0000312,0.00003397,BITTREX,1264.6124867
LUNABTC,0.00004034,54.83120935,,,HUOBI,1264.6124867
LUNABTC,0.00004035,51.61211903,0.0000312,0.00003287,KUCOIN,1264.6124867
LUNBTC,0.00002426,39.56694095,0.00006911,0.00009311,HITBTC,0.38933994
LUNBTC,0.000026,35.83418128,0.00006842,0.00008885,HUOBI,0.38933994
LXTBTC,2.1e-7,53.79078235,2.3e-7,3.2e-7,HUOBI,70.86183098
LYMBTC,2.4e-7,47.11932446,3e-7,3.5e-7,BITFINEX,10.58829256
LYMBTC,2.2e-7,42.57195896,2.8e-7,3.3e-7,KUCOIN,10.58829256
LYMBTC,2.3e-7,44.42485379,2.7e-7,3.3e-7,HUOBI,10.58829256
MAIDBTC,0.00000919,49.0421372,0.00001042,0.00001175,BITTREX,18.86567866
MAIDBTC,0.00000896,47.52484872,0.00001025,0.00001116,HITBTC,18.86567866
MANABTC,0.00000803,62.08940488,0.0000053,0.00000486,BITTREX,5677.1648821
MANABTC,0.00000806,63.69744644,0.00000531,0.00000487,POLONIEX,5677.1648821
MANABTC,0.00000806,62.77525601,0.0000053,0.00000486,KUCOIN,5677.1648821
MANABTC,0.00000804,60.9114859,0.00000534,0.00000488,HUOBI,5677.1648821
MANABTC,0.00000805,63.49659435,0.00000527,0.00000484,HITBTC,5677.1648821
MANABTC,0.00000806,62.30166798,0.0000053,0.00000486,BINANCE,5677.1648821
MANBTC,8.9e-7,40.80519771,0.00000137,0.0000024,KUCOIN,7.56462734
MANBTC,0.00000667,46.98717118,0.00000717,0.00000783,BITFINEX,7.56462734
MANBTC,0.00000174,55.18937756,0.00000177,0.00000264,HUOBI,7.56462734
MANBTC,9.5e-7,45.66361182,0.00000147,0.0000027,HITBTC,7.56462734
MAPBTC,0.00000418,55.43659946,0.00000442,0.00000489,KUCOIN,1.8858713
MATICBTC,0.00000214,50.50979995,0.00000213,0.0000021,HITBTC,1787.93462555
MATICBTC,0.00000221,52.48763617,0.00000213,0.0000021,BINANCE,1787.93462555
MATICBTC,0.0000022,51.80932972,0.00000211,,POLONIEX,1787.93462555
MBLBTC,1.8e-7,46.34778824,2e-7,,BINANCE,195.28297222
MCOBTC,0.00048412,62.661517,0.00048814,0.00052131,BITTREX,1092.52269688
MCOBTC,0.000479,62.30533615,0.00048881,0.00052102,HUOBI,1092.52269688
MCOBTC,0.0004809,61.94602023,0.00048844,0.00052152,BINANCE,1092.52269688
MCOBTC,0.00048388,62.91300657,0.00048815,0.00052119,HITBTC,1092.52269688
MDABTC,0.00003853,44.86288972,0.00005371,,HITBTC,38.02432681
MDABTC,0.00004126,45.97033572,0.00004557,0.00005267,BINANCE,38.02432681
MDSBTC,3.9e-7,59.00806831,3.6e-7,4.1e-7,HUOBI,46.68319801
MDTBTC,0.0000013,53.42361907,,,BINANCE,124.81439106
MDTBTC,0.0000013,53.42763987,,,POLONIEX,124.81439106
MDTBTC,0.00000126,50.23976301,0.00000107,,BITTREX,124.81439106
MEBTC,0.00000107,17.70442125,,,BITTREX,36.54752811
MEDBTC,4.5e-7,53.85753499,4.3e-7,,BITTREX,355.86021799
MEETBTC,6.1e-7,39.6661814,7.1e-7,7.8e-7,HUOBI,2.80498171
MEMEBTC,0.00000121,49.52184906,0.00000114,0.00000126,BITTREX,37.63751804
MERBTC,6.2e-7,43.98075168,6.9e-7,8.3e-7,BITTREX,0.04848895
MESHBTC,1.4e-7,51.1970456,1.3e-7,1.3e-7,HITBTC,
METABTC,7.5e-7,40.34398012,8.4e-7,8.5e-7,KUCOIN,41.8104991
METABTC,7.4e-7,42.42819698,8.3e-7,9.1e-7,BITTREX,41.8104991
METBTC,0.00008027,48.75508762,0.00006473,0.00006376,BITTREX,39.23577541
MEXBTC,3e-8,55.4119911,3e-8,4e-8,HUOBI,0.74955799
MFABTC,0.00004628,,,,BITTREX,
MFTBTC,2.5e-7,53.81892046,1.6e-7,1.5e-7,BITTREX,562.15419724
MGBTC,0.00000766,32.0010943,0.00001029,0.00001049,HITBTC,
MGOBTC,0.00000106,57.83883626,8e-7,0.00000147,BITFINEX,123.14410654
MHCBTC,4e-7,43.13958577,4.1e-7,5.5e-7,KUCOIN,221.62769522
MHCBTC,4.3e-7,49.94007905,4.1e-7,4.5e-7,CEXIO,229.00139825
MINBTC,0.00009398,42.37335275,0.00021227,,HITBTC,10.89756522
MITBTC,8.1e-7,44.85711491,8e-7,0.00000102,BITFINEX,169.20416929
MITHBTC,8.5e-7,46.49891507,7.8e-7,9.4e-7,BINANCE,169.20416929
MITHBTC,8.5e-7,46.76637297,7.7e-7,0.000001,HITBTC,169.20416929
MITXBTC,0.00000263,50.29884717,0.00000171,0.00000138,HITBTC,161.46753821
MKRBTC,0.05422,,,,HUOBI,2791.39830231
MKRBTC,0.054144,49.08689873,0.05153932,0.05233867,BITFINEX,2791.39830231
MKRBTC,0.05416,49.09562127,0.06744794,,COINBASE,2791.39830231
MKRBTC,0.05378,49.29112556,0.05128353,0.05217061,HITBTC,2791.39830231
MKRBTC,0.054186,47.35499533,,,BINANCE,2791.39830231
MKRBTC,0.054,49.20176673,0.04986187,,POLONIEX,2791.39830231
MKRBTC,0.05417,49.64726726,0.0514022,0.05250599,KUCOIN,2791.39830231
MLKBTC,0.00001857,60.76243853,,,KUCOIN,162.97914725
MLNBTC,0.00413401,67.81554654,0.00154683,0.00112343,BITFINEX,135.20637602
MLNBTC,0.003939,70.4412895,0.00158816,0.00120065,HITBTC,135.20637602
MNABTC,0.0000082,64.68380765,0.0000053,0.00000492,BITFINEX,5677.1648821
MOCBTC,0.00000175,41.30470017,0.000002,0.00000229,BITTREX,53.83880287
MOFBTC,0.0000323,46.21614831,0.00003376,,BITTREX,536.21072877
MOFBTC,0.00003895,53.79702366,0.00003837,,HITBTC,536.21072877
MONABTC,0.00016396,43.81518983,0.00017358,0.00017115,BITTREX,373.18614556
MOREBTC,0.00000219,43.91723658,0.00000213,0.00000254,BITTREX,0.11721081
MRPHBTC,0.00002199,51.78898197,0.00002139,0.00002043,BITTREX,47.58601252
MTBTC,1e-7,40.2284885,1.1e-7,1.2e-7,HUOBI,0
MTCBTC,3.3e-7,47.20278792,5.2e-7,6.8e-7,KUCOIN,3.91331611
MTHBTC,0.00000101,55.20422129,8.9e-7,0.00000101,HITBTC,21.72109295
MTHBTC,0.000001,54.53716317,8.9e-7,9.9e-7,BINANCE,21.72109295
MTLBTC,0.00003638,64.62951785,0.00003322,0.0000344,HITBTC,1993.77149238
MTLBTC,0.00003616,64.62174774,0.00003326,0.00003618,BITTREX,1993.77149238
MTLBTC,0.00003645,63.28282921,0.00003339,0.00003497,HUOBI,1993.77149238
MTLBTC,0.00003654,65.41251092,0.00003334,0.00003497,BINANCE,1993.77149238
MTNBTC,3e-7,47.12023344,3.2e-7,3.6e-7,HUOBI,1.2092595
MTNBTC,2.9e-7,45.33095564,3.2e-7,3.6e-7,KUCOIN,1.2092595
MTNBTC,2.9e-7,47.71891103,3.1e-7,3.6e-7,BITFINEX,1.2092595
MTVBTC,7e-8,44.35674423,6e-8,9e-8,KUCOIN,21.55838525
MTXBTC,0.00000314,41.48656001,0.00000328,0.00000323,HUOBI,4.18672042
MTXBTC,0.00000286,39.48877376,0.0000032,0.00000332,HITBTC,4.18672042
MUEBTC,5.9e-7,56.42739268,5.4e-7,5.9e-7,BITTREX,0.80804251
MUSKBTC,6e-8,37.90714465,8e-8,1e-7,HUOBI,
MVPBTC,5e-8,51.03184792,3e-8,3e-8,KUCOIN,8.01547861
MWATBTC,1.6e-7,35.72094459,3.1e-7,4.9e-7,KUCOIN,0.63125973
MXBTC,0.00001206,46.97456942,0.00001323,0.0000132,HUOBI,155.23504231
MXCBTC,0.00000225,80.26834205,0.00000109,8.4e-7,HUOBI,198.58951226
MYSTBTC,0.00001273,54.12693919,0.00000959,0.00000854,HITBTC,1.78611059
NANOBTC,0.0001185,67.05307061,0.00009837,0.00009829,KUCOIN,2017.18905809
NANOBTC,0.0001189,67.13450592,0.00009841,0.0000983,BINANCE,2017.18905809
NANOBTC,0.00011805,66.64295209,0.00009822,0.00009966,HITBTC,2017.18905809
NANOBTC,0.0001186,70.34086709,0.00009904,0.00009832,HUOBI,2017.18905809
NASBTC,0.00004816,57.81989173,0.00004322,0.00004651,HUOBI,462.70826197
NASBTC,0.0000484,60.11033399,0.00004307,0.00004638,BINANCE,462.70826197
NAVBTC,0.00001515,70.06622137,0.00001306,0.00001307,BINANCE,42.6851989
NAVBTC,0.00001555,63.7136507,0.00001286,,HITBTC,42.6851989
NAVBTC,0.00001492,66.3061757,0.00001305,0.00001307,BITTREX,42.6851989
NCABTC,1.2e-7,62.11906262,6e-8,7e-8,BITFINEX,21.77160743
NCASHBTC,8e-8,52.74215393,6e-8,6e-8,HUOBI,21.77160743
NCCBTC,7e-8,39.85616809,9e-8,1.3e-7,HUOBI,2.93480581
NCTBTC,1.8e-7,51.03811736,1.6e-7,1.7e-7,HITBTC,0.80573492
NEBLBTC,0.00005597,53.59826809,0.00005712,0.00006126,HITBTC,26.77921891
NEBLBTC,0.00005578,50.97911118,0.00005754,0.00006139,BINANCE,26.77921891
NEBLBTC,0.00005589,51.23790569,0.00005749,0.00006132,KUCOIN,26.77921891
NEOBTC,0.0016001,76.96509901,0.00117781,0.00117689,BITFINEX,53058.18061026
NEOBTC,0.00161614,77.36547308,0.00117836,0.00117717,BITTREX,53058.18061026
NEOBTC,0.0016114,77.60287346,0.00117811,0.0011771,HITBTC,53058.18061026
NEOBTC,0.0016042,77.32484024,0.00117802,0.00117706,KUCOIN,53058.18061026
NEOBTC,0.001604,77.42869648,0.00117802,0.00117717,BINANCE,53058.18061026
NEOBTC,0.00160598,78.98776563,0.0011738,,POLONIEX,53058.18061026
NEOBTC,0.001603,82.10446798,0.00118878,0.00118331,HUOBI,53058.18061026
NESTBTC,0.00000887,55.77559546,,,HUOBI,3329.65877786
NEUBTC,0.00001193,48.65908152,0.00001329,0.00001396,HITBTC,0.217598
NEWBTC,6e-8,56.55011571,7e-8,1e-7,HUOBI,59.07382861
NEXOBTC,0.00001136,30.56182619,0.00001701,0.00001639,HITBTC,346.11933215
NEXOBTC,0.00001138,31.79344363,0.0000167,0.0000162,HUOBI,346.11933215
NGCBTC,0.00000352,51.76653128,0.00000342,0.00000334,HITBTC,0.18660413
NGCBTC,0.00000346,46.64609367,0.00000376,0.00000474,BITTREX,0.18660413
NIMBTC,3.9e-7,39.72322802,4.1e-7,2.9e-7,HITBTC,141.76968686
NIMBTC,3.9e-7,39.43429913,4.1e-7,2.9e-7,KUCOIN,141.76968686
NIXBTC,0.00000933,48.99507413,0.00000836,0.00000837,KUCOIN,10.0492785
NKNBTC,0.00000276,53.40529775,0.00000244,0.00000245,HUOBI,299.29856602
NKNBTC,0.00000277,54.97485783,0.00000242,0.00000244,BINANCE,299.29856602
NKNBTC,0.00000277,53.84499733,0.00000243,0.0000025,BITTREX,299.29856602
NLC2BTC,3.1e-7,61.68704354,1.7e-7,1.8e-7,HITBTC,0.13451666
NLC2BTC,3.4e-7,65.68517376,1.7e-7,1.7e-7,BITTREX,0.13451666
NLGBTC,8e-7,45.64987993,9.4e-7,0.00000109,BITTREX,0.53320758
NMRBTC,0.00368025,60.10446554,0.00249258,0.00218109,BITTREX,574.32405718
NMRBTC,0.00363952,,,,COINBASE,574.32405718
NMRBTC,0.00367765,59.7448647,0.00250546,0.00219937,HITBTC,574.32405718
NMRBTC,0.00365,,,,BINANCE,574.32405718
NMRBTC,0.00373743,60.45524786,0.00249948,0.00218732,POLONIEX,574.32405718
NODEBTC,1.2e-7,47.3394955,1.5e-7,2.9e-7,HUOBI,646.13744841
NOIABTC,0.00000857,52.74962802,0.0000049,0.00000352,KUCOIN,51.74160463
NPLCBTC,1e-8,36.6291073,2e-8,5e-8,HITBTC,0.00518581
NPXSBTC,2e-8,43.51282598,2e-8,2e-8,KUCOIN,231.23126233
NPXSBTC,1e-8,21.4892608,2e-8,2e-8,BITTREX,231.23126233
NPXSBTC,2e-8,41.84133404,2e-8,2e-8,HUOBI,231.23126233
NPXSBTC,2e-8,51.53043616,2e-8,2e-8,HITBTC,231.23126233
NRGBTC,0.00014507,33.69876862,,,HITBTC,102.77932797
NRGBTC,0.00014234,31.54683987,0.00021219,0.00023854,KUCOIN,102.77932797
NTKBTC,0.00000122,49.80375797,0.00000112,0.00000133,HITBTC,0.00030821
NULSBTC,0.00004054,42.04523023,0.0000426,0.00004085,HUOBI,1716.38286386
NULSBTC,0.00004073,43.06115259,0.00004261,0.00004095,KUCOIN,1716.38286386
NULSBTC,0.00004064,42.98120058,0.00004263,0.00004096,BINANCE,1716.38286386
NUTBTC,0.0019352,39.03534525,0.00245276,0.00262077,HITBTC,0.14626173
NWCBTC,0.00001703,74.62443123,0.00000627,0.00000482,KUCOIN,208.55366698
NWCBTC,0.00001664,74.79049647,0.00000623,,HITBTC,208.55366698
NXSBTC,0.00002206,50.78472614,0.00002137,0.00002225,BITTREX,13.80218313
NXSBTC,0.00002202,50.47456599,0.00002143,0.00002235,BINANCE,13.80218313
NXTBTC,0.00000111,45.60186892,0.00000118,0.00000132,POLONIEX,63.39813161
NXTBTC,0.0000011,43.63340317,0.00000118,0.00000132,HITBTC,63.39813161
NXTBTC,0.00000111,46.90685935,0.00000118,0.00000132,BITTREX,63.39813161
OAXBTC,0.00001325,51.01709569,0.00000891,0.00000789,BINANCE,101.95593328
OAXBTC,0.00001322,51.28555527,0.00000888,0.00000795,HITBTC,101.95593328
OCEANBTC,0.00004576,65.38947275,0.00001987,0.00001401,KUCOIN,899.01086262
OCEANBTC,0.000045,63.82831635,0.00001982,0.00001399,BITTREX,899.01086262
OCEANBTC,0.00004476,,,,BINANCE,899.01086262
OCNBTC,4e-8,52.65242534,4e-8,6e-8,HITBTC,25.12856678
OCNBTC,4e-8,53.4195232,4e-8,5e-8,HUOBI,25.12856678
OGNBTC,0.00003497,49.12486409,,,HUOBI,1893.15023976
OGNBTC,0.00003488,49.60694588,0.00003133,0.00002957,BINANCE,1893.15023976
OGNBTC,0.00003472,49.3363686,0.00003103,,BITTREX,1893.15023976
OGOBTC,0.00000129,45.90531485,0.00000142,0.00000156,HUOBI,117.56596017
OKBBTC,0.00045,29.65218946,0.00055172,,HITBTC,6038.80536244
OKBTC,0.000003,41.49673088,0.00000313,0.00000311,BITTREX,0.66166978
OLTBTC,9.9e-7,49.83336935,7.1e-7,6.5e-7,KUCOIN,27.74422374
OMGBTC,0.00047441,78.74766299,,,COINBASE,152842.59176437
OMGBTC,0.000471,69.3108691,0.00017952,0.00015473,HUOBI,152842.59176437
